Still in!,y
Still IN,y
The last stretch bois. Still in,y
|one more day, few hours left  
we was waited it like jingle bells  
let le grand nut come  
STILL IN|,y
|Diamonds are Forever
Still In|,y
|Still in!!!! Damn that went fast, congrats to everyone who made it this far. Oh I’ll see you all next year, stay safe and good bye. 🤝|,y
Still in,y
FINAL day and still in,y
Still in o7,y
I MADE IT STILL IN,y
STILL IN!!!! YESSS WE'RE SO CLOSE,y
Still IN!,y
STILL IN! DIAMOND NO NUT HERE I AM,y
Still in,y
STILL IN,y
still in,y
Still IN,y
still in!,y
|Day 30, one more day, we can do it! STILL IN!|,y
|Everything will be over tomorrow

And I'll be drowning in my sorrow

Because my cumrades will be taken from me

And for a whole year lonely I will be

I made sure to enjoy it the most

But at this point at what cost?


Still In 🫡|,y
|In my bed I wept
For the dreams I slept
Had me bust and my cum could not be kept

But then I perused
And found since my dick wasn’t used
It did not count to what I so quickly accused

So now I rejoice
For that me and the boys
Will tomorrow fap to the material of our choice|,y
Still in,y
|It is 10:57pm. We have done it boys, we are men now. The journey has been long and arduous but we have done it. We will sleep and wake up to a day where the restrictions on our holy excalipeens will be released. It was a Good battle and I hope to see you next year|,y
Still in,y
STILL IN!!!,y
Still in,y
Still in,y
|And here it cums 
Still in!|,y
|Never thought I'd make it this far, but here I am, still in|,y
Still in,y
Hehrhra,unknown
Well?,unknown
Still IN,y
still in o7,y
Still in,y
Damn this November came and went really quick!  One more day my comrades!,y
Still brothers. It's been an honor,y
STILL IN BOYS o7,y
I’ve won,y
Still in,y
Still in!,y
|We did it

It's here

The wild, braying cheer

The myriad of November 1st

Honed down to true men

To the hallow halls of diamond flair

Belong now our kin


Still IN!
To my cumrades and friends 🫡🤝🏻|,y
Still in,y
|Still in, see you next year!|,y
Still IN,y
Still IN,y
Still in,y
Still IN,y
Day 30 STILL IN LADS WE'RE ALMOST THERE!,y
Still IN,y
|It's the last day and the final battle has come. It's too late to give up now thus we must fight to the end. 
Still in o7|,y
Still in,y
Stil In!,y
|Well, this is my last No Nut November. All comes down to today. Tomorrow, I will officially sign off and retire from NNN.

Still in.|,y
|ah man 1 day left it was fun but now i cant wait to cum

&#x200B;

STILL IN|,y
|5 more hours for me and im done, this year was easier than last year for some reason|,y
Still IN,y
Still in,y
Light work,unknown
Still In!,y
Still IN!,y
Still in,y
still in,y
STILL IN! ALSO WILL DO DDD,y
IVE WON!!!!,y
still in,y
|Still in, last day.|,y
STILL IN,y
Still IN! It’s been a pleasure lads,y
This is the first year I made to thirty days! I didn’t check in (just didn’t remember to 😅) but I truly am proud of myself for making it this year! Still in!,y
Still IN,y
|Still IN .

WELCOME TO THE FINISH LINE MOTHERFUCKERS

EDIT: MY WATCH HAS ENDED.|,y
Still IN,y
|Last one, fix ye bayonets boys, imagine you charging at the finish line. Still IN|,y
Still IN,y
Still in,y
Still in,y
|Gentlemen, it’s been an honour, tonight we claim victory.
Day 30, Still IN.|,y
STILL IN!,y
Still IN,y
Still IN,y
Still in,y
AM IN,y
|Still in.

Honestly, the hardest part for me was the first week and last week, the middle 2 weeks were free.|,y
|The fight was long, but we stayed strong. It was an honor,

STILL IN|,y
Still in!,y
Still IN.,y
Still in,y
We win these,y
Still IN,y
Still IN!,y
Still in,y
|With mere hours on the clock, IM STILL IN!!!|,y
Still in. Few hours left. Lfg.,y
Still fucking in,y
STILL IN!,y
STILL IN,y
Still in,y
|Still in my brother's, or at least I've completed the challenge|,y
Still IN,y
