STILL IN,unknown
Still in!,unknown
 Still IN,unknown
STILL IN,unknown
Still in - 5 hours until a 1/4 of the way through!,unknown
Still in,unknown
Still IN!,unknown
Still IN,unknown
Still IN,unknown
STILL IN,unknown
Still IN,unknown
Still IN,unknown
|Day seven has begun 

It hasn’t been fun

We’re down a ton

But we shall prevail 

it would be pathetic to fail

So far within this month.

Still in|,unknown
Still in,unknown
Still in o7,unknown
Still in,unknown
Still in o7,unknown
I'm still in!,unknown
Still in,unknown
Still IN,unknown
Still in!,unknown
still in,unknown
Still in,unknown
This shits been easy ngl. STILL IN RAHHH,unknown
still in,unknown
Still IN,unknown
Still In .................,unknown
Still IN,unknown
Still in!!! o7,unknown
I'm still in!,unknown
|How am I still IN,

Things have become difficult,

Its only day 7.|,unknown
Still in,unknown
Still in,unknown
Still IN,unknown
STILL IN! LET'S GOO,unknown
Still in,unknown
Still in o7,unknown
Still in!,unknown
Still in,unknown
STILL IN!,unknown
Still in,unknown
Still in,unknown
STILL IN! When do I get a flair?,unknown
Still in,unknown
Still IN,unknown
|Roses are red

My balls are blue

I want it to end

3 weeks to go

STILL IN!|,unknown
In like a mf,unknown
|Day 1 = Still in 

Day 2 = Still in 

Day 3 = Still in 

Day 4 = Still in 

Day 5 = Still in  

Day 6 = Still in 

Day 7 = Still in|,unknown
Still in,unknown
STILL IN,unknown
Still in,unknown
Still In,unknown
|WE’VE MADE IT A WEEK SOLDIERS! 
Still in let’s goo!|,unknown
Still in.,unknown
Still in!,unknown
Still IN,unknown
|Still In, for some reason urges haven't been as bad as I expected|,unknown
Still IN at the moment it's a breeze but I'm afraid the harder days will come,unknown
In,unknown
Still IN,unknown
Sorry to disappoint you guys but I’m OUT.,unknown
Still in,unknown
|STILL IN
D O N T E D G E🗣️🗣️🗣️|,unknown
Still in,unknown
Still IN,unknown
Still in,unknown
im still in,unknown
Still IN,unknown
Still In,unknown
Still IN  o7,unknown
Still In!,unknown
Still in,unknown
|Still in! 10 Days clean actually, thanks to a friend who told me I should start early for "momentum"|,unknown
Still in,unknown
 Still IN,unknown
|Didn’t know if i was going to try this year, but I’ve got this far so, STILL IN o7|,unknown
Still in,unknown
Still in!,unknown
Still in,unknown
still in,unknown
Still in,unknown
|Dang I’m really late, but still in!|,unknown
 Still IN,unknown
Still in,unknown
 Still In,unknown
Still in. This shit's easy so far.,unknown
Still in,unknown
|I said a hip, a hop, a hip,
I dip my dick in the salsa dip on a Taco Tuesday!

Nevertheless, STILL IN!|,unknown
Hooray,unknown
Still in bothers,unknown
Still in,unknown
still in,unknown
Still in!,unknown
Still IN,unknown
Stil in ...barely,unknown
Still in,unknown
Still in,unknown
|Still in, boys!|,unknown
Still IN,unknown
Still in,unknown
